name_hotel,link_hotel,access,star,review,price,pop_score
星野リゾート　界 加賀,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=309552&callbackHistFlg=1,"
 山代温泉の中心「古総湯」の目の前にある温泉宿。紅殻格子が印象的な伝統建築棟では水引のオブジェがお出迎え。加賀友禅などを配した客室や迫力の加賀獅子舞など、加賀文化にひたるご滞在をお楽しみください
 ",4.4,607,22350,28.204769480651137
かがり吉祥亭,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=325818&callbackHistFlg=1,"
 全ての客室から四季が織りなす渓谷美を堪能。渓流を間近に湯浴みを愉しむひとときを。
夕食時【飲み放題付き】で加賀の旬を彩る会席料理を堪能ください。
夏は縁日屋台や花火、渓流釣りでキッズも大満喫。
 ",4.5,1432,14900,32.703864425226776
金沢湯涌温泉　百楽荘,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=379790&callbackHistFlg=1,"
 【離れ ひがし茶屋】7月グランドOPEN！！●露天風呂付スイート金沢最大級●兼六園から車で15分の温泉街！無料送迎あり●5つの貸切風呂●個室食事♪●ダーツ＆卓球など北陸初Gameラウンジ♪
 ",4.6,43,15836,17.407272316024
ハイアット セントリック 金沢,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=364246&callbackHistFlg=1,"
 金沢駅西口から徒歩2分。全室32平米以上の客室、伝統工芸と現代アートが調和する上質な空間で、旬の地元食材を味わえるダイニングを備えた、食と文化を五感で楽しめるフルサービスホテルです。
 ",5.0,119,10247,23.937458713910228
加賀・山代温泉　森の栖リゾート＆スパ,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=321276&callbackHistFlg=1,"
 １万坪の森の中で日ごろの疲れを癒やす大人のくつろぎ時間を。
寛ぎの客室、緑の絶景、癒しのエステ、肌を潤す温泉、北陸の山海の幸。
自動ドアをくぐると、日常を忘れる森の薫りが漂う空間が始まります。
 ",4.7,465,11000,28.877672480390537
山代温泉　みやびの宿加賀百万石　,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=386738&callbackHistFlg=1,"
 当館は、庭園・大浴場・客室およびお食事プランを一新し、「贅沢な時間を満喫できる宿」へと洗練を極めました。庭園では、百万色に染まる幻想的なライトアップと雲海演出をお楽しみいただけます。
 ",4.4,45,22750,16.84602214455202
加賀片山津温泉 佳水郷（アパホテルズ＆リゾーツ）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=332430&callbackHistFlg=1,"
 全室が柴山潟に面し、白山連峰を望む展望大浴殿が自慢。北陸ならではの旬の逸品会席、外気浴と共にととのうサウナ、Wi-Fi完備、駐車場無料、キッズコーナーなど、和と洋が調和したリゾート型割烹温泉旅館。
 ",4.5,1523,11000,32.98092181310967
ANAクラウンプラザホテル金沢 by IHG,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=319051&callbackHistFlg=1,"
 「あ、美味しい」に出会う朝食。こだわりぬいた10種のシグネチャーメニューを揃えたANAクラウンプラザホテル金沢の朝食ブッフェで、石川・金沢の魅力を“食”を通してご体験ください。
 ",4.4,1786,5860,32.94849146670148
粟津温泉　旅亭懐石　のとや,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=343091&callbackHistFlg=1,"
 北陸新幹線で沸く金沢から近く、日本海の幸が味わえる宿！直前割や女性半額、石川県応援割やじゃらん限定プランや、部屋食も対応可。美肌の温泉100％の貸切露天や源泉かけ流し露天風呂付き客室で混浴も。
 ",4.3,1230,12650,30.59700314259315
加賀・山代温泉　瑠璃光,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=344540&callbackHistFlg=1,"
 露天風呂と足湯で四季を満喫。露天風呂付客室はクラブラウンジで大人の贅沢なひとときを。毎夜圧巻の加賀一向一揆太鼓開催。加賀の旬の味覚と温かなもてなしに癒される寛いだひとときをお過ごしください。
 ",4.5,1939,10890,34.06699463425819
